image,num_faces,gpu_upload_ms,gpu_gray_ms,gpu_download_ms,face_detect_ms,landmarks_ms,save_ms,total_ms
lfw-deepfunneled/lfw-deepfunneled/Sharon_Osbourne/Sharon_Osbourne_0001.jpg,2,1.81701,0.055339,1.18199,13.3583,23.737,63.3586,103.508
lfw-deepfunneled/lfw-deepfunneled/Robert_Bullock/Robert_Bullock_0002.jpg,1,1.64558,0.054279,1.23542,12.9584,15.1562,13.0518,44.1018
lfw-deepfunneled/lfw-deepfunneled/Annette_Lu/Annette_Lu_0002.jpg,1,6.03658,0.066437,0.973463,17.003,10.0001,25.7789,59.8584
lfw-deepfunneled/lfw-deepfunneled/Richard_Langille/Richard_Langille_0001.jpg,1,1.68182,0.051416,1.3551,13.9148,10.0688,52.4716,79.5436
lfw-deepfunneled/lfw-deepfunneled/George_W_Bush/George_W_Bush_0122.jpg,2,0.899975,0.051623,1.11242,10.3021,19.9958,7.77308,40.135
lfw-deepfunneled/lfw-deepfunneled/Juan_Sanchez/Juan_Sanchez_0001.jpg,1,1.68422,0.051961,1.16172,11.3999,10.1006,49.9752,74.3736
lfw-deepfunneled/lfw-deepfunneled/Paula_Zahn/Paula_Zahn_0002.jpg,1,2.31941,0.050003,0.968492,11.6411,6.40538,56.8093,78.1937
lfw-deepfunneled/lfw-deepfunneled/Anthony_Carter/Anthony_Carter_0001.jpg,1,1.84649,0.043471,1.31612,13.8461,6.25797,10.841,34.1511
lfw-deepfunneled/lfw-deepfunneled/Amy_Smart/Amy_Smart_0001.jpg,2,41.3011,0.036298,1.10587,7.14476,20.0352,45.7003,115.323
lfw-deepfunneled/lfw-deepfunneled/Gerhard_Schroeder/Gerhard_Schroeder_0034.jpg,1,0.900042,0.058966,0.891303,13.0268,10.5028,14.0572,39.4371
lfw-deepfunneled/lfw-deepfunneled/Mohammed_Baqir_al-Hakim/Mohammed_Baqir_al-Hakim_0001.jpg,1,3.27992,0.05564,1.35132,9.54056,6.5793,4.58193,25.3887
lfw-deepfunneled/lfw-deepfunneled/Britney_Spears/Britney_Spears_0011.jpg,1,5.89502,0.052777,1.31443,8.09622,6.78264,5.27859,27.4197
lfw-deepfunneled/lfw-deepfunneled/Sarah_Canale/Sarah_Canale_0001.jpg,2,3.08332,0.047232,1.30003,11.9785,12.6627,7.9435,37.0153
lfw-deepfunneled/lfw-deepfunneled/Anthony_Lee_Johnson/Anthony_Lee_Johnson_0001.jpg,1,2.35215,0.046935,1.23829,14.3281,6.8195,5.2268,30.0118
lfw-deepfunneled/lfw-deepfunneled/Emanuel_Ginobili/Emanuel_Ginobili_0004.jpg,1,32.639,0.052777,1.30788,11.0623,10.6299,6.94289,62.6347
lfw-deepfunneled/lfw-deepfunneled/George_W_Bush/George_W_Bush_0460.jpg,1,1.13386,0.059001,1.7301,11.0825,10.5047,28.2044,52.7146
lfw-deepfunneled/lfw-deepfunneled/George_W_Bush/George_W_Bush_0402.jpg,1,1.01287,0.052292,1.36983,12.7739,6.30564,7.97824,29.4928
lfw-deepfunneled/lfw-deepfunneled/Hassan_Nasrallah/Hassan_Nasrallah_0001.jpg,1,8.09575,0.049069,2.02422,9.95677,6.85464,21.7497,48.7302
